StationId,PositionName,Area,UniqueCode,StationCode,StationPic,Longitude,Latitude,StationTypeId
4472,旅顺,大连市,210200057,1115A,,121.2588889,38.80805556,1
4473,金州,大连市,210200058,1116A,,121.7481,39.1311,1
4474,开发区,大连市,210200059,1117A,,121.7769,39.0511,1
4480,食品厂,长春市,220100051,1119A,,125.323,43.9167,1
4481,客车厂,长春市,220100052,1120A,,125.287,43.91,1
4482,邮电学院,长春市,220100053,1121A,,125.2786,43.84,1
4483,劳动公园,长春市,220100054,1122A,,125.3649,43.8748,1
4484,净月潭,长春市,220100056,1124A,,125.454,43.7878,1
4485,甩湾子(对照点),长春市,220100001,1125A,,125.633,43.55,1
4486,经开区环卫处,长春市,220100059,1126A,,125.417,43.8667,1
4487,岱山公园,长春市,220100058,1128A,,125.217,43.85,1
4488,岭北(对照点),哈尔滨市,230100001,1129A,,126.542,45.755,1
4489,松北商大,哈尔滨市,230100086,1130A,,126.561,45.8167,1
4449,南岗学府路,哈尔滨市,230100082,1132A,,126.599,45.7222,1
4450,太平宏伟公园,哈尔滨市,230100061,1133A,,126.689,45.7733,1
4451,道外承德广场,哈尔滨市,230100081,1134A,,126.635,45.7667,1
3238,动力和平路,哈尔滨市,230100073,1136A,,126.6441,45.7262,1
3239,道里建国路,哈尔滨市,230100084,1137A,,126.593,45.7478,1
3240,平房东轻厂,哈尔滨市,230100085,1138A,,126.615,45.61,1
3241,呼兰师专,哈尔滨市,23010088,1139A,,126.6106,45.9819,1
3242,省农科院,哈尔滨市,23010089,1140A,,126.6206,45.6842,1
3243,虹口,上海市,310000055,1143A,,121.467,31.3008,1
3244,徐汇上师大,上海市,310000057,1144A,,121.412,31.1654,1
3245,杨浦四漂,上海市,310000052,1145A,,121.536,31.2659,1
3246,青浦淀山湖(对照点)(停运210513),上海市,310000004,1146A,defaultStation.jpg,120.978,31.0935,1
3247,静安监测站,上海市,310000056,1147A,,121.425,31.2261,1
3248,浦东川沙,上海市,310000251,1148A,,121.703,31.1907,1
3249,浦东张江,上海市,310000059,1150A,,121.577,31.2071,1
3250,迈皋桥,南京市,320100068,1151A,,118.803,32.1083,1
3251,草场门,南京市,320100054,1152A,,118.749,32.0572,1
3252,山西路,南京市,320100055,1153A,,118.778,32.0723,1
3253,中华门,南京市,320100053,1154A,,118.777,32.0144,1
3254,玄武湖,南京市,320100051,1156A,,118.795,32.0775,1
3255,浦口,南京市,320100058,1157A,,118.6414,32.0964,1
3256,奥体中心,南京市,320100057,1158A,defaultStation.jpg,118.7356,31.9996,1
3269,上方山(对照点),苏州市,320500001,1160A,,120.561,31.2472,1
3270,南门(停运210422),苏州市,320500055,1161A,defaultStation.jpg,120.628,31.2864,1
3257,轧钢厂,苏州市,320500058,1163A,,120.596,31.3264,1
3258,吴中区,苏州市,320500060,1164A,,120.613,31.2703,1
3259,苏州新区,苏州市,320500061,1165A,,120.543,31.2994,1
3260,苏州工业园区,苏州市,320500062,1166A,,120.669,31.3097,1
3261,相城区,苏州市,320500063,1167A,,120.641,31.3708,1
3262,狼山街道,南通市,320600005,1168A,defaultStation.jpg,120.913,31.96,1
3263,虹桥,南通市,320600073,1169A,,120.86,32.0005,1
3264,星湖花园,南通市,320600077,1171A,,120.94,31.93,1
3265,紫琅学院,南通市,320600078,1172A,,120.81,32.0417,1
3266,市环境监测站,连云港市,320700052,1173A,,119.176,34.5885,1
3267,洪门派出所(停运161021),连云港市,320700053,1174A,,119.141,34.5896,1
