StationCode,UniqueCode,Area,atmosphere_tcc,surface_hpbl,surface_sp,surface_SUNSD,surface_t,surface_prate,surface_gust,highCloudLayer_hcc,middleCloudLayer_mcc,lowCloudLayer_lcc,isobaric_850_u,isobaric_850_v,isobaric_700_u,isobaric_700_v,isobaric_500_gh,isobaric_500_u,isobaric_500_v
1001A,110000252,北京市,0.0,37.06811185782547,100054.93710745624,2082.2289539999997,265.70521328914185,0.0,2.4359283390914444,0.0,0.0,0.0,9.524710346735764,-4.1417344445442685,13.123264543540383,-7.17869825451212,5462.462712580469,19.874753776389312,-7.166657814742756
1002A,110000041,北京市,0.0,39.439875047445284,96307.92258234377,1956.028095000001,263.43809650024417,0.0,2.562822630003691,0.0,0.0,0.0,8.799876991649882,-4.096285491319897,14.098202676172244,-8.342350774972427,5453.940338737793,20.066803043146127,-8.022991551475517
1003A,110000244,北京市,0.0,38.78558913723293,100085.24700811249,2088.181644,265.53835284056396,0.0,2.606795350598235,0.0,0.0,0.0,9.871757231957234,-4.51161732555455,13.181852055546186,-7.221070766853141,5459.864822310938,19.89308918110199,-7.1466470829259885
1004A,110000245,北京市,0.0,37.39551741826243,100351.49184190625,2101.1559899999997,265.67602155734255,0.0,2.477347149968381,0.0,0.0,0.0,9.502789466932287,-4.248198793831575,13.129191660231589,-7.117905385098934,5461.636813910156,19.97753356682968,-7.1226067209620485
1005A,110000247,北京市,0.0,39.13006143262028,100224.709310425,2096.6090039999995,265.4835714081909,0.0,2.6519233579300914,0.0,0.0,0.0,9.945651393841564,-4.646006917589862,13.196048364841845,-7.20692708339291,5459.0407776,19.934626790400692,-7.122446271089745
1008A,110000253,北京市,0.0,36.8305727737427,100404.49230131251,2140.185024,264.47563757641603,0.0,2.6313062014217388,0.0,0.0,0.0,9.145651688583383,-4.859738613937379,13.425298359397887,-7.324534629608152,5452.226378667969,20.513289873870846,-7.338152392135617
1009A,110000254,北京市,0.0,33.336899632091416,98122.42768364376,2073.749745200001,263.0120811144775,0.0,2.4084859869099575,0.0,0.0,0.0,7.7567150927265915,-4.211006840708634,13.867633328265379,-8.002760214538382,5446.46974413457,20.806430382102214,-8.07374930196076
1010A,110000255,北京市,0.0,39.17844534301755,97331.85414100002,1987.879264000001,264.1370439863281,0.0,2.5774061292953494,0.0,0.0,0.0,9.201051643836973,-4.186292286613469,13.779478530258174,-8.020379034553523,5455.71434728125,19.939885664581304,-7.779452505203245
1012A,110000249,北京市,0.0,38.103203219471,99113.63241734372,2029.9913249999981,265.66611667915345,0.0,2.488542614130378,0.0,0.0,0.0,9.885382076444635,-4.109910669315451,13.160770604021549,-7.403644266959437,5462.459327705078,19.58208455792426,-7.292766696993118
1013A,120000051,天津市,0.0,93.62840912524648,103349.713135,2421.833298999999,269.9288700264892,0.0,2.416571602711545,0.0,0.0,0.0,4.352530885749336,-0.7465563399724845,12.687190435009,-5.458515658047677,5472.731555993164,22.429388090839367,-6.783083520408156
1014A,120000081,天津市,0.0,102.92134678696735,103301.651479375,2419.335712999999,269.9845566966552,0.0,2.5734906078067947,0.0,0.0,0.0,4.954296488741402,-1.374029570976257,12.766236815891265,-5.561847880087855,5470.581377362305,22.469607227687824,-6.7530254995903976
1015A,120000062,天津市,0.0,87.1826883753993,103313.3167525,2409.3044109999996,269.49238023352046,0.0,2.41526361475359,0.0,0.0,0.0,4.758351686419941,-1.1059462434310623,12.724937628765101,-5.550557573239324,5471.1934968681635,22.299701666889177,-6.78353950643492
1016A,120000072,天津市,0.0,104.01680187760837,103333.29262328126,2425.900723999999,270.19222262963865,0.0,2.539634100676051,0.0,0.0,0.0,4.606115888088217,-1.0425818414084778,12.728260422782895,-5.4913836468486785,5471.887308214844,22.521728052368154,-6.7595085109787005
1017A,120000095,天津市,0.0,124.38256095635755,103335.18251887501,2440.654597799999,270.9000599347412,0.0,2.729611389221388,0.0,0.0,0.0,4.706170411445675,-1.2394215631862195,12.764081288028711,-5.477024641243548,5471.697694298242,22.75075664904402,-6.7230399060441055
1019A,120000186,天津市,0.0,96.61278128097032,103279.92805461251,2410.494093570001,269.6454775281385,0.0,2.546892461036326,0.0,0.0,0.0,5.171417016502714,-1.5526072360492746,12.783053446635627,-5.615591500292574,5469.725905649326,22.368281116846287,-6.758199702597202
1020A,120000100,天津市,0.0,133.1384526696689,103315.37446071875,2443.940880100002,271.1044355840211,0.0,2.835290937996181,0.0,0.0,0.0,4.9605353330034765,-1.5293478814203403,12.803493757860187,-5.511819498829553,5470.812750338183,22.829784056592967,-6.702661797566839
1021A,120000168,天津市,0.0,152.71799080317527,103342.44773621876,2461.053316300001,271.8949107032349,0.0,2.9940186230900734,0.0,0.0,0.0,4.820427816582056,-1.4880057928982753,12.81088686699486,-5.453071082960221,5471.549509010644,23.066283387506495,-6.672420399168347
1022A,120000108,天津市,0.0,123.10213664558529,103366.13802656249,2444.9284200000006,271.01524890869143,0.0,2.677500083901896,0.0,0.0,0.0,4.364939290704753,-0.9024562234306646,12.723920015716557,-5.4123740012550385,5472.96771578125,22.771116835784923,-6.733096516981122
1023A,120000143,天津市,0.0,319.1090620403667,103367.24993378125,2568.885241699998,277.5082959366576,0.0,4.629984438838416,0.0,0.0,0.0,5.931738012438426,-3.3635606593245218,13.133509764589306,-5.407593631305601,5469.242291920996,24.81678008436391,-6.360426536877305
1025A,120000301,天津市,0.0,181.66091718470588,103306.8699278125,2477.1219079999987,272.72719919970694,0.0,3.3033480630717116,0.0,0.0,0.0,5.33341450110054,-2.1289183246192853,12.904108760223385,-5.503724027515414,5469.85080146875,23.36280306442259,-6.6127604817256955
1027A,120000005,天津市,0.0,95.2037514278981,103396.64502804063,2451.6132427999983,270.39436629999994,0.0,2.291538329431,0.0,0.0,0.0,3.900257688528044,-0.5100540784969527,12.636148616430088,-5.259675047615626,5477.145204750781,23.21677459893528,-6.593860268278609
1028A,130100051,石家庄市,0.0,10.571880106346253,100103.01287905988,1962.4624942599985,266.7102138335794,0.0,0.7917341972982029,0.0,0.0,0.0,4.905219287674034,-2.6994742370095004,12.709589178922943,-4.998950556546447,5520.440371522343,26.87182149771312,-9.227621890129367
1029A,130100052,石家庄市,0.0,10.715639024375719,99488.12354933724,1930.767262480002,266.6893735317395,0.0,0.8391164410847989,0.0,0.0,0.0,4.66390724926622,-2.695040645403795,12.594774712812317,-5.0024911360373645,5521.541408310782,26.957417508324525,-9.446556466169028
1030A,130100054,石家庄市,0.0,10.335975546662587,100403.58073160722,1976.8805261600014,266.75241341457155,0.0,0.756321867489793,0.0,0.0,0.0,4.9995615446873005,-2.6930800081613633,12.766031667266814,-4.9682200571363815,5520.425194927812,26.96983548673149,-9.19067740790578
1032A,130100056,石家庄市,0.0,10.041070283933724,99710.30999919471,1938.857719760001,266.7927277692102,0.0,0.7800863428075592,0.0,0.0,0.0,4.705993228942135,-2.69031284090558,12.637062987840237,-4.927892365568391,5522.601607893437,27.324530478836586,-9.574232283461962
1033A,130100057,石家庄市,0.0,10.157459693426981,100085.55095402831,1959.075378360001,266.7822238600702,0.0,0.7635253250768942,0.0,0.0,0.0,4.853452755788974,-2.686452923058162,12.707000417963663,-4.93783934427704,5521.621484648125,27.184474538643975,-9.391759165099485
1035A,130100001,石家庄市,0.0,9.977910279059525,99048.45909662292,1924.0500183300007,266.95022813811437,0.0,0.818350261101351,0.0,0.0,0.0,4.35065665510977,-2.670730062588988,12.437484765538418,-4.740220402230317,5526.68157890625,27.37086373313362,-9.857429354056086
1036A,130200100,唐山市,0.0,178.30713840798956,102575.82369940562,2544.1314336800006,271.051251954541,0.0,3.2290278468186835,0.0,0.0,0.0,8.742264926740374,-5.785846956365279,13.49415616005463,-6.12636727197487,5450.73878520332,24.282911247899175,-6.493359881409338
1038A,130200053,唐山市,0.0,174.16448117676555,102563.93582662633,2546.816101929999,270.8783722894714,0.0,3.1880854470568476,0.0,0.0,0.0,8.73060701053534,-5.782717367945608,13.506823598009527,-6.140072835681507,5450.332515509106,24.28983092478285,-6.488599533795174
1039A,130200051,唐山市,0.0,162.4629142891926,102530.45825473477,2549.410500450001,270.40416355258174,0.0,3.068022342900472,0.0,0.0,0.0,8.727146387342138,-5.7814937706808545,13.5233406614481,-6.1720269809408705,5449.375578636353,24.258797721894076,-6.490168203553985
1040A,130200054,唐山市,0.0,166.53720036318578,102541.59670991197,2542.707047228001,270.5821467885571,0.0,3.1073104770057287,0.0,0.0,0.0,8.774788154936175,-5.799165980647683,13.499546292706897,-6.155717855895018,5449.921062458467,24.217322048147164,-6.505256900309062
1041A,130200052,唐山市,0.0,179.33734677486973,102579.23383696133,2552.900225450002,271.07113875704954,0.0,3.2449023437033606,0.0,0.0,0.0,8.67705689596287,-5.763696027670331,13.523022386854748,-6.133026973716785,5450.488719420045,24.370235196335617,-6.467993196365661
1043A,130300056,秦皇岛市,0.0,332.67743736772184,102919.02487059002,2916.588868320001,276.3379102527222,0.0,6.346624292298358,0.0,0.0,0.0,8.356694531786165,-6.212887934860084,15.269278574786695,-5.826494591937179,5426.418888254297,25.064470198134764,-6.121006159952657
1044A,130300053,秦皇岛市,0.0,291.38552867588066,102869.19872375218,2881.37063672,274.40693664961276,0.0,5.431721055170776,0.0,0.0,0.0,8.05190223491163,-5.88541615884223,15.022144220940495,-5.969640594028546,5429.670662932446,25.13801023056293,-6.088840800381876
1045A,130300055,秦皇岛市,0.0,303.85031024450024,102884.07230050625,2885.9717551999997,274.6492084941589,0.0,5.500141364674564,0.0,0.0,0.0,8.104259189146706,-5.901057679022787,15.054678300432203,-5.9821515109915735,5430.253415590332,25.273405146454234,-6.04867793339901
1046A,130300058,秦皇岛市,0.0,270.56284232813783,102808.32969699908,2864.6655511200015,273.54265913016394,0.0,5.04051237329891,0.0,0.0,0.0,7.903793068985805,-5.745436117381724,14.891081109361563,-6.02273175796206,5430.680842717847,25.14940734349495,-6.09070079618294
1047A,130400051,邯郸市,0.038237000569775866,12.937785732826718,99958.30261946877,2180.4660912590007,269.83500879047233,0.0,0.9974585083487737,0.0,0.0,0.038237000569775866,2.7941588193509403,-1.7141913935552164,11.644738617338499,-2.3372701755303535,5565.882872468773,26.107324990655574,-10.942393777853944
1048A,130400052,邯郸市,0.03836000057160867,13.126318705189254,100137.37777348683,2188.3969968799984,269.8726013626514,0.0,1.015002188878094,0.0,0.0,0.03836000057160867,2.8739705450197475,-1.7466011446995142,11.65970593099426,-2.3347348625676716,5565.675394109883,26.15892054452055,-10.923745883415535
1050A,130400054,邯郸市,0.03801900056652714,12.822486965755234,99856.739065714,2175.8482363049993,269.81044739459867,0.0,0.987300651296795,0.0,0.0,0.03801900056652714,2.753042857474063,-1.7000961111670403,11.636296318085803,-2.3403484749370684,5565.9555080251785,26.08274949920244,-10.950346398517151
1051A,130600064,保定市,0.0,9.748617816130066,101432.39761664374,2059.935890399999,266.03942653471677,0.0,0.752728334054091,0.0,0.0,0.0,6.7585233262306215,-3.291211377806956,12.603885085316467,-6.472319775543213,5492.720418013281,20.956068712495426,-6.74474330465126
1053A,130600062,保定市,0.0,9.74832162121254,101261.0214034778,2048.2178391599996,265.9364854461011,0.0,0.7666861391770988,0.0,0.0,0.0,6.875859146315808,-3.4080008191392417,12.579525193552321,-6.59222259241486,5491.733105464102,20.594828207370213,-6.6919886823889705
1054A,130600061,保定市,0.0,9.75161074767578,101358.04941581002,2057.549335680001,266.0433090710547,0.0,0.7660588466784644,0.0,0.0,0.0,6.723238191920773,-3.3029992729375373,12.614685830611572,-6.444566584655758,5493.485884526875,21.10215107892334,-6.765037601953126
1055A,130600051,保定市,0.0,9.751701205189514,101219.83457000622,2048.507480799999,265.9660947869629,0.0,0.7783164955670389,0.0,0.0,0.0,6.807455356932831,-3.3920677447587098,12.596993015138246,-6.53262172481537,5492.808346475782,20.842657212016306,-6.725710024534226
1056A,130600060,保定市,0.0,9.74634378789875,101523.68057698765,2063.96415742,266.0558214126306,0.0,0.739415491377585,0.0,0.0,0.0,6.764363587045077,-3.260213947661878,12.600484502770271,-6.470808007925032,5492.3227889700975,20.912673617107664,-6.7404091440822125
1058A,130700402,张家口市,0.0,39.99146680023481,87890.83593028468,1551.7147920399996,257.58691469674926,0.0,2.2896829079291736,0.0,0.0,0.0,5.014496780697485,-2.9953665565413505,14.26531193074031,-7.969452839919528,5449.255420000469,21.349148406123195,-10.08592874628843
1059A,130700403,张家口市,0.0,41.31740350689919,87891.61179997423,1545.9493046999992,257.5749124318512,0.0,2.3197955131395123,0.0,0.0,0.0,5.042292885668471,-3.0565737683257495,14.245365907616899,-7.959862421185063,5448.906921739648,21.347893568446352,-10.13030334903856
1060A,130700407,张家口市,0.0,38.49796741544082,87886.818000965,1559.69344832,257.612841327168,0.0,2.2585177753370713,0.0,0.0,0.0,4.9795562470294215,-2.891524796091873,14.286766117545774,-7.982043277434997,5449.849099675625,21.34630168047363,-10.017239059140318
1061A,130700001,张家口市,0.0,40.076487099342756,87906.03803343751,1536.8319799999988,257.44010702392575,0.0,2.259554153094302,0.0,0.0,0.0,5.040244234972007,-3.3690333177840763,14.282085095424645,-7.952595524091718,5447.063182871094,21.389121400337217,-10.278042784147269
1063A,130800402,承德市,0.0,15.065703889625077,96762.25897608204,2243.5523437500005,260.86155891459657,0.0,1.6462788337075414,0.0,0.0,0.0,10.908919459170583,-8.951406775127289,13.848624528470515,-8.50765863125157,5418.51717841919,22.9814439990716,-9.012920734810942
1064A,130800407,承德市,0.0,15.137432505562783,97035.9050136297,2253.6328924999993,261.05460667586055,0.0,1.6459777582481019,0.0,0.0,0.0,10.956911465775729,-8.899950426107022,13.82390128312473,-8.40659532088346,5419.653267313965,22.968868436462202,-8.9012547866487
1065A,130800409,承德市,0.0,14.894884880890643,96682.59544236999,2219.867817999999,260.86710261350584,0.0,1.624513282540006,0.0,0.0,0.0,9.881346393299728,-7.977183008763332,13.830684480306703,-8.519989510354161,5420.066118883984,22.812562113196257,-9.092997789481092
1066A,130800001,承德市,0.0,16.493294769380185,96577.70357938998,2236.48386688,260.7452461446484,0.0,1.6849774739556973,0.0,0.0,0.0,10.790064260051278,-8.835829428423766,13.854560933771973,-8.545552671846924,5417.92754053625,22.989313206843267,-9.069944390227052
1067A,131000402,廊坊市,0.0,34.244034102521745,102287.92434760251,2232.0441492000014,266.4833704649134,0.0,2.0784785260041008,0.0,0.0,0.0,7.303375035162197,-2.8776285914564244,12.881685897610208,-6.376254698761307,5467.386143444844,20.78896614412858,-6.920811991602571
1069A,131000407,廊坊市,0.0,35.03426291225054,102301.38722196876,2234.7217950000013,266.4058231038055,0.0,2.157313671319604,0.0,0.0,0.0,7.464727202772124,-3.049248340700021,12.908816923894404,-6.396170725205177,5466.186210060547,20.796975174070365,-6.911612602910756
1070A,131000408,廊坊市,0.0,35.201026272250765,102437.86301306373,2247.318045599998,266.48416088931396,0.0,2.149778652109964,0.0,0.0,0.0,7.272708521181434,-2.9204679453403406,12.891993175717698,-6.331556979963426,5466.409388468125,20.876200205642384,-6.898365086219675
1071A,130900402,沧州市,0.0,17.11022433638537,103327.70345050203,2476.0404322200006,268.31798492329773,0.0,0.9567448516335655,0.0,0.0,0.0,4.62169369862228,-2.4228472061015878,12.397968125829065,-4.6564359598124145,5495.8815620616115,27.30749940297667,-5.461817339899425
1073A,130900401,沧州市,0.0,17.560910139628827,103328.49547692719,2468.7338099600015,268.30032104886357,0.0,0.9746199210540059,0.0,0.0,0.0,4.590987651556089,-2.3190846478327107,12.407206710699192,-4.687759912703208,5495.361827738886,27.08824769638276,-5.530504780447801
1074A,131100401,衡水市,0.0,9.788577446021558,103077.52435932225,2287.9311284999994,268.1406309922638,0.0,0.8543663217266488,0.0,0.0,0.0,4.7092061227665,-1.6575839695061805,13.16701349477148,-4.220412491845668,5520.119007685669,27.762194322149274,-7.527463161310083
1075A,131100402,衡水市,0.0,9.790156347715797,103059.75910007922,2280.2051785199997,268.13274180680054,0.0,0.8444826942921941,0.0,0.0,0.0,4.82329701075927,-1.7717270217249688,13.160860873593634,-4.208275712569655,5521.202979394521,27.75618801609634,-7.65341858183945
1078A,130500401,邢台市,0.0,9.866481150126724,99465.51973391695,2114.74119277,268.7970771551321,0.0,0.8503436896716845,0.0,0.0,0.0,3.7455851189593057,-2.751847788942708,11.671380205031863,-2.872402632077022,5553.2815203125,27.171003221778946,-10.298195140746765
1079A,130500406,邢台市,0.0,9.869353240187683,99546.33512436847,2109.572434360001,268.71792238535033,0.0,0.8453138072559686,0.0,0.0,0.0,3.8272204077058074,-2.763369502084284,11.723561063502624,-2.9639136298189785,5551.797853320312,27.193699123525096,-10.255360559305414
1080A,130500405,邢台市,0.0,9.867911974362183,99173.07818441562,2102.3765491999998,268.7134972987427,0.0,0.8503922219280723,0.0,0.0,0.0,3.5688665896749394,-2.6621717644065823,11.654211813316723,-2.897980709455676,5553.371989453125,27.07854684127502,-10.314594632427982
1081A,140100053,太原市,0.23164359027499204,84.96021437695248,88403.08507828282,1514.5870998000012,266.0496931323364,0.0,2.346732509726161,0.23164359027499204,0.0,0.0,4.258190790114421,-2.3652986312184505,13.074786765578846,-5.775697000131473,5547.455214227539,25.937592106293497,-11.982437825731088
1082A,140100052,太原市,0.16469817730551117,78.636097704957,88395.16887861172,1525.3417676999982,265.8410009828064,0.0,2.2950912886874155,0.16469817730551117,0.0,0.0,4.415345701196177,-2.4003900073268287,13.108070006591223,-5.846252801731369,5546.243521478027,26.01585276048774,-11.991067197693539
1083A,140100001,太原市,0.0,102.08153809516625,88147.18976579374,1470.1605735999988,265.91343672512204,0.0,2.48592143363009,0.0,0.0,0.0,4.174998866935714,-2.521793277126497,13.131258323668668,-6.066364879231265,5544.787785963282,25.87974135690459,-12.063381251415253
1084A,140100063,太原市,0.6566771091281909,84.7753700837411,88650.00909910312,1527.222034799998,266.7106326504639,0.0,2.359399509176501,0.6566771091281909,0.0,0.0,3.8939164537525137,-2.0864338276190284,12.925663388990023,-5.308459608827692,5553.105512396484,25.75233063803558,-11.877471331442646
1085A,140100062,太原市,0.49496020795491225,74.3804944103025,88648.22338135421,1548.44568066,266.4247621408288,0.0,2.2548043587944844,0.49496020795491225,0.0,0.0,4.055253627185355,-2.1730734910891734,12.952913164804576,-5.378353335914616,5551.380756535449,25.85732943429848,-11.878858721353971
1086A,140100057,太原市,0.26046597555347417,82.17071826120564,88438.82579144656,1521.682750840001,266.06708690204835,0.0,2.3235042370991907,0.26046597555347417,0.0,0.0,4.258316514904981,-2.3418760308688253,13.062904200825578,-5.729039110470894,5547.824423623242,25.940335840716404,-11.968478681873359
1087A,140100059,太原市,0.33374451480389555,75.76915861816491,88531.68723402344,1538.9940449999983,266.14064242279056,0.0,2.2674991475313977,0.33374451480389555,0.0,0.0,4.229339212536795,-2.2826454242977454,13.02568463009834,-5.597340951832527,5548.9225121826175,25.935939797420495,-11.930521119017602
1090A,150100056,呼和浩特市,0.0,23.23042154363065,84782.65244581405,802.7035691999992,256.97015543479614,0.0,2.050027231147752,0.0,0.0,0.0,1.9124340502969517,-0.7231806682925439,11.594170076450913,-6.113084979296442,5481.06195938711,20.18197085648937,-11.774060608565236
1091A,150100051,呼和浩特市,0.0,22.327344130144706,84685.06275200938,796.1292872000002,256.78267871729736,0.0,2.0291887278696783,0.0,0.0,0.0,1.8403254248385903,-0.7688692175063142,11.5621425845562,-6.121054111527921,5479.937687166406,20.211650829369734,-11.833263393950844
1092A,150100052,呼和浩特市,0.0,21.404670892998997,84587.06638301877,788.6616864000018,256.61150472658693,0.0,2.0063633254574342,0.0,0.0,0.0,1.774242574600317,-0.8086526368697192,11.521640662902083,-6.123332404202467,5478.947900957813,20.24068080790176,-11.892305702814859
1093A,150100053,呼和浩特市,0.0,21.39660684034431,84565.2896632,781.4519296000012,256.7481509390625,0.0,1.9937149333099393,0.0,0.0,0.0,1.8280284773468027,-0.7490739583313006,11.448043932690439,-6.078176540008548,5480.119339425,20.234420863427733,-11.886520451953121
1095A,150100055,呼和浩特市,0.0,23.235827599606058,84804.90214676969,813.2345695200002,256.7548495437146,0.0,2.068958379350942,0.0,0.0,0.0,1.8286813363995649,-0.81229899811369,11.702112808737526,-6.181965793753098,5479.254905374453,20.192770773941533,-11.784773636043678
1097A,150100058,呼和浩特市,0.0,24.18893958270218,84877.74936436873,818.9544191999993,256.93645438117676,0.0,2.090369723407791,0.0,0.0,0.0,1.9012841727517091,-0.7579379171084422,11.723992058858485,-6.173446089512823,5480.405505920312,20.16448080943985,-11.726540579533008
1098A,210100003,沈阳市,0.0,49.875904430473895,100950.65494353657,3480.0828822399994,261.2236446109436,0.0,2.1759119555273587,0.0,0.0,0.0,10.718578316402436,-1.4330126529506988,17.62342398515915,-4.295538297719267,5353.347447452715,24.1691220096608,-5.895153616056961
