StationCode,UniqueCode,Area,atmosphere_tcc,surface_hpbl,surface_sp,surface_SUNSD,surface_t,surface_prate,surface_gust,highCloudLayer_hcc,middleCloudLayer_mcc,lowCloudLayer_lcc,isobaric_850_u,isobaric_850_v,isobaric_700_u,isobaric_700_v,isobaric_500_gh,isobaric_500_u,isobaric_500_v
2202A,152500819,锡林郭勒盟,4.802485217190534,177.84701910936678,89870.4867497564,1238.1885203400016,252.07627273993623,0.0,8.236326245893657,0.0,0.0,4.802485217190534,10.49584043512355,-4.9405824440708574,14.138786389696474,-9.647935509456708,5339.795831518964,26.815190803853895,-14.993721297167983
2203A,152500820,锡林郭勒盟,4.796564490723202,175.85549246780016,89940.34603763928,1232.0061407100013,252.09789207779679,0.0,8.13817070126158,0.0,0.0,4.796564490723202,10.451134114220771,-5.025147458155658,14.102072638286923,-9.653997239178198,5340.127312891338,26.889551994677028,-15.008582013678957
2204A,152900012,阿拉善盟,0.0,14.580837674784474,82924.87437353325,0.0,262.32897288790133,0.0,2.266924011463737,0.0,0.0,0.0,-0.3881575695891004,0.46061834207966784,7.458841881541365,-0.31501107952187163,5588.820898082886,22.815052057548996,-13.041628550636526
2205A,152900051,阿拉善盟,0.0,14.29017850721111,82729.97627931634,0.0,262.25142598625183,0.0,2.2419794343182375,0.0,0.0,0.0,-0.28654682661232256,0.4687753762260108,7.483621868273026,-0.28595983647911954,5588.424480657959,22.821754399094583,-13.064228227379331
2206A,152900052,阿拉善盟,0.0,13.963491377818318,82487.03661833749,0.0,262.15765036762696,0.0,2.2105260215360616,0.0,0.0,0.0,-0.160969007004923,0.4807495535066125,7.5156891094123885,-0.24829181688861435,5587.971465066406,22.82821576635437,-13.08921071947784
2207A,210900411,阜新市,0.0,33.68563899922646,100678.4386925022,2944.515442500001,262.15916499570864,0.0,1.8665804140153486,0.0,0.0,0.0,9.210154582623797,-7.9215966775663,15.34713642579445,-3.7163747351414522,5358.833589010381,25.628818648004263,-7.027008957542214
2208A,210900412,阜新市,0.0,38.991201162837335,100692.23086670812,2946.0885117399994,262.1399074946515,0.0,2.0672421901176934,0.0,0.0,0.0,9.32242470661638,-7.979467418980314,15.43195337415437,-3.7085068163783474,5358.032224990997,25.586500216466067,-6.955710158376615
2209A,210900413,阜新市,0.0,46.97170502726468,100699.13333373,2946.5576300399994,262.1110986416028,0.0,2.3580810849166216,0.0,0.0,0.0,9.438262162975816,-8.019991964694643,15.540474359689515,-3.716255345834773,5356.979138775273,25.49536307301666,-6.859572442208162
2210A,210900414,阜新市,0.0,40.46348837225409,100705.736620355,2947.8132130400013,262.1435209265454,0.0,2.1247399802499025,0.0,0.0,0.0,9.363531821107909,-8.003035425368472,15.460354258032607,-3.7035165599794717,5357.837349176641,25.577342102580577,-6.931355131216394
2211A,210900415,阜新市,0.0,45.16604815464876,100657.11517167249,2940.76921728,262.08812780374996,0.0,2.2822047782800485,0.0,0.0,0.0,9.349312862874296,-7.957005011765592,15.486497947946166,-3.736860644917756,5357.213928925938,25.494929222656857,-6.9021171942248545
