StationCode,UniqueCode,Area,atmosphere_tcc,surface_hpbl,surface_sp,surface_SUNSD,surface_t,surface_prate,surface_gust,highCloudLayer_hcc,middleCloudLayer_mcc,lowCloudLayer_lcc,isobaric_850_u,isobaric_850_v,isobaric_700_u,isobaric_700_v,isobaric_500_gh,isobaric_500_u,isobaric_500_v
1592A,150600554,鄂尔多斯市,0.0,42.097063901756854,87586.31410461172,581.5880385000003,261.57050277142577,0.0,1.6920401723421907,0.0,0.0,0.0,2.899426954758619,-1.1368753415704183,11.029931064422817,-5.060946805453376,5519.387988169678,21.990836609655123,-12.889600676372666
1594A,150600556,鄂尔多斯市,0.0,75.71775598474271,87649.3472860746,583.4598272499984,263.35630454955077,0.0,1.832969165895463,0.0,0.0,0.0,2.8060666589477434,-1.0978156345317178,11.014008133373137,-5.034382707021885,5526.638585111206,22.521698683346383,-13.232610470837773
1595A,150600557,鄂尔多斯市,0.0,49.73562198422181,87661.12653649063,594.840285999999,261.9120867010156,0.0,1.710333042049664,0.0,0.0,0.0,2.8688518421479245,-1.1721993202076217,11.025543162731093,-5.0488486628674325,5520.048725036133,22.091835460866843,-12.935242569932019
1596A,210800401,营口市,0.0,29.189873012053276,102515.81532549,3380.3509456,266.5118129085547,0.0,1.198023985609474,0.0,0.0,0.0,6.868722794765468,-3.2733777563685607,14.759747743793639,-5.804338731642458,5398.778005019219,24.521529355977172,-5.106946425461118
1597A,210800403,营口市,0.0,27.7391971376209,102513.18798050453,3376.8269459000007,266.3686562827844,0.0,1.203669996859881,0.0,0.0,0.0,6.978425077525154,-3.294627990042211,14.798031902635806,-5.737498896525218,5397.146113033711,24.461829449050594,-5.206470507281521
1598A,210800405,营口市,0.0,29.672081655651066,102551.37653764452,3377.098067500001,266.5843044928284,0.0,1.2020628612558237,0.0,0.0,0.0,6.800365699601181,-3.287702940899488,14.753504141586303,-5.817524657749892,5399.112251649414,24.52765370576477,-5.115454119019264
1600A,210600401,丹东市,2.7625125598758706,51.718020071554264,101519.73128579104,3974.167412499998,264.6491534278869,0.0,1.2718751714525764,0.0,0.0,2.7625125598758706,8.47436453461945,-4.51800082346497,14.172628637868176,-6.74417925489843,5411.0318417663575,26.96355746415853,-2.622802695024013
1602A,210600403,丹东市,2.2794690214061806,52.00918841376747,100948.17174336713,3974.5073873399997,264.3916161823084,0.0,1.1841690767945636,0.0,0.0,2.2794690214061806,8.477137578839756,-4.64339390656449,14.184475541936294,-6.612541542778998,5408.207364684971,26.764287898344982,-2.7431531230878594
1603A,210600404,丹东市,2.4495474610925037,51.91962910965053,101143.6843846278,3973.152143760001,264.47315128748534,0.0,1.2129024282696665,0.0,0.0,2.4495474610925037,8.477838592881108,-4.588718053358183,14.188172697961763,-6.655623114522077,5409.131591860586,26.823630407635427,-2.703105636898726
1604A,211100401,盘锦市,0.0,25.056039453776982,102891.43864438812,3241.665485039999,265.82714809412596,0.0,1.5409207781472969,0.0,0.0,0.0,7.309320497009403,-4.532246048011242,15.080346273773648,-5.0540910316107555,5384.052184262754,24.389222713475952,-6.406001522654043
1605A,211100402,盘锦市,0.0,23.295395084477473,102981.8429978639,3264.95929474,266.0320715512366,0.0,1.4552341743079225,0.0,0.0,0.0,7.138086560559711,-4.187694862740889,15.031373074412231,-5.177577907356198,5386.070449746323,24.278493180420455,-6.347757312893755
1607A,211400051,葫芦岛市,0.0,324.9624399782191,102415.846134425,3020.1382553599997,269.68571900746093,0.0,1.960176760282138,0.0,0.0,0.0,6.937982408467405,-5.1786714972805745,13.704448408818358,-5.573319759354555,5400.381965548438,25.326902044053956,-6.052998603138123
1609A,211400053,葫芦岛市,0.0,310.5470636390579,102204.07202941408,3004.468656000001,269.4996537638244,0.0,2.0358505478149485,0.0,0.0,0.0,6.902392535831464,-5.098249402161146,13.613873510624888,-5.596541522530073,5400.583099094239,25.34335636304092,-6.105027345083713
1610A,211400054,葫芦岛市,0.0,251.41568345182577,102176.59260550939,2998.5000524800002,268.5427919529614,0.0,1.8748997778931071,0.0,0.0,0.0,7.057421934120338,-5.379949110477118,13.509600779966508,-5.524840143604542,5398.714273558398,25.367119803103026,-6.177264210821038
1612A,350500052,泉州市,100.0,662.2992079099905,100017.82261317938,3055.553514320003,291.08482985026615,3.640371799368461e-06,10.648612666764459,0.0,31.253951205042913,100.0,-0.7438079650916246,-3.554362002250787,9.037323397720527,5.875653868689004,5827.797057945078,21.85097662029648,9.552000224039269
1613A,350500053,泉州市,100.0,685.8983599819952,100307.22631802129,3274.669866240032,291.20649345583007,3.834987688532909e-06,11.214216390863886,0.0,28.557221631106756,100.0,-0.7749872125816654,-3.5357993823870277,9.113531616976157,5.941382384441459,5827.158900281562,22.02044815628815,9.610485704698936
1614A,350500050,泉州市,100.0,658.7749587053748,99947.06557150904,2986.3504097199875,290.9139243760046,3.696660449223512e-06,10.445586492857139,0.0,32.37892268703526,100.0,-0.7594103310560244,-3.326325342198384,9.238221821264938,5.883496432632196,5826.69006698043,22.03219891456032,9.704634237855629
1615A,371200051,济南市,0.27228750000000146,29.92262166225921,100307.27190937499,3025.470850000001,271.39343253326416,0.0,0.4663151525169589,0.0,0.27228750000000146,0.0,4.558347741115093,-3.212634288635854,14.316815143752095,-4.375194217133523,5560.770287963867,25.724028709030147,-4.96696636404395
