StationCode,UniqueCode,Area,atmosphere_tcc,surface_hpbl,surface_sp,surface_SUNSD,surface_t,surface_prate,surface_gust,highCloudLayer_hcc,middleCloudLayer_mcc,lowCloudLayer_lcc,isobaric_850_u,isobaric_850_v,isobaric_700_u,isobaric_700_v,isobaric_500_gh,isobaric_500_u,isobaric_500_v
2613A,532801410,西双版纳州,5.018038250000001,16.252425079438183,90516.22006885546,852.6441989999992,285.01212715657806,0.0,0.7512648751205502,5.018038250000001,0.0,0.0,0.3840523013112221,0.11097341517646009,5.356994792677405,3.021452135448275,5857.4898069042965,16.073122820236204,-6.0362810410341075
2614A,532901411,大理州,11.639245153896258,19.979426910180713,77508.87714521938,249.64858248000075,271.6459090605432,0.0,1.299092876491846,11.639245153896258,0.0,0.0,0.8325953287150648,-0.7501609525369497,2.402138160177591,1.913206412218083,5795.444941936465,27.53116704832525,-5.326956463527676
2615A,532901412,大理州,15.475137597788805,17.95054306687072,78209.98301816298,285.1171046600007,272.1882588989627,0.0,1.278484466076682,15.475137597788805,0.0,0.0,0.7531892877553424,-0.814753478692247,2.677497006917321,2.3119909953563416,5798.369914852886,27.34864899594567,-5.631116499090195
2616A,533103420,德宏州,9.306396514425536,29.098204704514266,85287.58995536876,79.30865519999936,278.4254172985596,0.0,1.485527581910322,9.306396514425536,0.0,0.0,-1.0089170174049142,-1.0172762291483384,5.421221553090285,1.4737960981368026,5824.015981824609,26.28905935938721,-9.12233766913643
2617A,533103421,德宏州,9.277467151077708,28.695094304212617,85246.47283442187,77.91844600000044,278.3884483723755,0.0,1.473691343275072,9.277467151077708,0.0,0.0,-0.9959299691954258,-1.0142436932209744,5.3995716243848815,1.464374281682494,5823.791944538086,26.365089554428096,-9.100287466933251
2618A,533321051,怒江州,1.025851081759051,26.34267867787451,78710.3997006592,11.585719020000042,272.9027553344549,0.0,1.9231420252757507,1.025851081759051,0.0,0.0,-0.5119013456299317,-1.4238296028157245,2.262168718959517,0.8093068857448273,5795.363627188379,30.03804733118652,-4.967362745537635
2619A,533321052,怒江州,1.0979639467381492,26.221464019583063,78857.61564779276,12.716618920000116,273.00311124259395,0.0,1.9116667055126961,1.0979639467381492,0.0,0.0,-0.5114414625543371,-1.4134804753852332,2.290398998918057,0.8278571595301768,5795.669627013086,30.047639881186516,-5.023078165563817
2620A,533421424,迪庆州,0.0,15.69098258947023,66460.99730742499,10.797182719999974,265.6040721806836,0.0,1.480063126607743,0.0,0.0,0.0,0.78417715552131,-1.0088010860535803,0.9667726109859582,-0.8918109299393077,5771.161090548437,7.920580932010196,1.6314646762532075
2621A,533421434,迪庆州,0.0,15.65236850446719,66312.59981964999,9.73770335999997,265.5496331314795,0.0,1.481462647246763,0.0,0.0,0.0,0.7971746734730525,-1.0027360171329815,0.9622381755868343,-0.8964465111208141,5771.009147285938,7.90426094319703,1.7027261183561744
2622A,542100051,昌都市,10.541023402275568,27.372296763245895,59348.15873275312,0.0,263.93693569507076,0.0,2.162557718019061,1.1490855894017369,10.541023402275568,0.0,1.157761394139214,1.5790319322969892,1.1522890350539758,1.5767747032392911,5745.719970487148,6.318794561047535,4.252474684351303
2623A,542100052,昌都市,10.34955321096034,27.40311312090057,59342.934237927344,0.0,263.9379389677045,0.0,2.1653825879380086,1.129901657348062,10.34955321096034,0.0,1.162124810738682,1.5811486088607931,1.1566408569446465,1.578887677228695,5745.745872892354,6.303838872280938,4.258330632860507
2624A,542200051,山南市,0.022130784329774167,31.38927041072433,57791.64204541531,0.0,261.6426982784179,0.0,2.324609726708233,0.022130784329774167,0.0,0.0,-0.4670821060820508,1.8622877517263614,-0.46517533678152084,1.8603531504989061,5772.8670304096095,5.901141075525654,2.318930159441942
2625A,542200052,山南市,0.023949360356873024,30.031335953046522,57768.28983620234,0.0,261.34752374230953,0.0,2.323700065178777,0.023949360356873024,0.0,0.0,-0.522312178647998,1.8027214681869705,-0.5204054046780855,1.8008323348566728,5772.479081599219,5.975166684928883,2.348137684732891
2626A,542300051,日喀则市,0.0,10.10066650631812,57547.00171517657,0.0,259.012982516748,0.0,1.8813200817142663,0.0,0.0,0.0,-0.1771236118101355,1.8240574509062855,-0.17603535524319136,1.8215696758845321,5766.936159831406,7.0360239437554135,4.583116896318576
