城市编码,名称,所属省份编码,所属区域,Longitude,Latitude
410100,郑州,410000,"全国,京津冀及周边,冬奥44城市",113.6429814,34.76077018
410200,开封,410000,"全国,京津冀及周边,冬奥44城市",114.3459714,34.79504286
410300,洛阳,410000,"全国,京津冀及周边,冬奥44城市",112.46396,34.67813
410400,平顶山,410000,"全国,京津冀及周边,冬奥44城市",113.2158667,33.76933333
410500,安阳,410000,"全国,京津冀及周边,冬奥44城市",114.3594167,36.0877
410600,鹤壁,410000,"全国,京津冀及周边,冬奥44城市",114.23446,35.80522
410700,新乡,410000,"全国,京津冀及周边,冬奥44城市",113.8893667,35.31256667
410800,焦作,410000,"全国,京津冀及周边,冬奥44城市",113.2453167,35.22518333
410900,濮阳,410000,"全国,京津冀及周边,冬奥44城市",115.0438,35.766675
411000,许昌,410000,"全国,京津冀及周边,冬奥44城市",113.8255333,34.04945
411100,漯河,410000,"全国,京津冀及周边",113.9619667,33.74358333
411200,三门峡,410000,"全国,京津冀及周边",111.1605,34.76725
411300,南阳,410000,"全国,京津冀及周边",112.53586,32.99148
411400,商丘,410000,"全国,京津冀及周边,冬奥44城市",115.64204,34.41526
411500,信阳,410000,"全国,京津冀及周边",114.060975,32.1231
411600,周口,410000,"全国,京津冀及周边,冬奥44城市",114.65715,33.6215
411700,驻马店,410000,"全国,京津冀及周边",114.0093,32.9859
211300,朝阳,210000,"全国,东北区域",120.420525,41.5786
152500,锡林郭勒盟,150000,"全国,京津冀及周边",116.09115,43.9314
140200,大同,140000,"全国,京津冀及周边,冬奥44城市",113.29296,40.10633
140600,朔州,140000,"全国,京津冀及周边,冬奥44城市",112.4084167,39.37658333
120000,天津,120000,"全国,京津冀及周边,冬奥44城市",117.334215,39.197555
130200,唐山,130000,"全国,京津冀及周边,冬奥44城市",118.1993,39.660025
140400,长治,140000,"全国,京津冀及周边",113.13045,36.21528333
131100,衡水,130000,"全国,京津冀及周边,冬奥44城市",115.645325,37.689125
140100,太原,140000,"全国,京津冀及周边,冬奥44城市",112.5292375,37.8353375
140800,运城,140000,"全国,京津冀及周边",111.01722,35.05166
